year,mesh,age,density
2021,largemesh,6,0.620155039
2021,largemesh,7,3.720930233
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.212132783
2020,smallmesh,3,0
2020,smallmesh,4,0.212132783
2020,smallmesh,5,0.424265566
2020,smallmesh,6,1.060663915
2020,smallmesh,7,4.24265566
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.66693344
2020,smallmesh,3,0.133386688
2020,smallmesh,4,0.133386688
2020,smallmesh,5,0.133386688
2020,smallmesh,6,0.400160064
2020,smallmesh,7,1.33386688
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,1.946969022
2020,smallmesh,3,1.081649456
2020,smallmesh,4,1.081649456
2020,smallmesh,5,0.865319565
2020,smallmesh,6,0.865319565
2020,smallmesh,7,0.865319565
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.11515726
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0
2020,smallmesh,7,0.23031452
2020,smallmesh,0,0
2020,smallmesh,1,0.072123545
2020,smallmesh,2,0
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0.216370634
2020,smallmesh,7,0.937606082
2020,smallmesh,0,0
2020,smallmesh,1,1.394280723
2020,smallmesh,2,2.943481527
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0
2020,smallmesh,7,0.309840161
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.073818756
2020,smallmesh,3,0
2020,smallmesh,4,0.073818756
2020,smallmesh,5,0.073818756
2020,smallmesh,6,0.147637513
2020,smallmesh,7,0.369093781
2020,smallmesh,0,0
2020,smallmesh,1,0.356156474
2020,smallmesh,2,0.178078237
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0.178078237
2020,smallmesh,7,1.068469421
2020,smallmesh,0,0
2020,smallmesh,1,0.203218694
2020,smallmesh,2,0.101609347
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0.101609347
2020,smallmesh,7,0.812874775
2020,smallmesh,0,0
2020,smallmesh,1,0.141008889
2020,smallmesh,2,0.211513334
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0.070504445
2020,smallmesh,6,0.070504445
2020,smallmesh,7,0.282017779
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0.110011001
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0.110011001
2021,smallmesh,7,0.880088009
2021,smallmesh,0,0
2021,smallmesh,1,0.226283725
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0.226283725
2021,smallmesh,6,0.565709312
2021,smallmesh,7,2.375979112
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0
2021,smallmesh,7,0.12254902
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0
2021,smallmesh,7,0.100704935
2021,smallmesh,0,0
2021,smallmesh,1,0.211193242
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0.105596621
2021,smallmesh,5,0
2021,smallmesh,6,0.105596621
2021,smallmesh,7,0.263991552
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0
